City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Pontivy,FR,2021-06-06 03:09:21,48.0,-3.0,56.25,88,14,2.55
284,Porto Walter,BR,2021-06-06 03:09:21,-8.2686,-72.7439,72.45,93,63,2.44
285,Longyearbyen,SJ,2021-06-06 03:09:21,78.2186,15.6401,35.44,69,75,13.8
286,Chuy,UY,2021-06-06 03:09:22,-33.6971,-53.4616,52.79,89,100,7.94
287,Barcelona,ES,2021-06-06 03:06:45,41.3888,2.159,70.61,71,20,1.01
288,Ouesso,CG,2021-06-06 03:09:22,1.6136,16.0517,69.06,98,100,2.93
289,Saint-Francois,FR,2021-06-06 03:09:22,46.4154,3.9054,56.48,100,90,2.3
290,Saint Anthony,US,2021-06-06 03:09:23,45.0205,-93.218,89.38,42,1,1.99
291,Kushima,JP,2021-06-06 03:09:23,31.4583,131.2333,73.81,72,100,4.45
292,Te Anau,NZ,2021-06-06 03:09:23,-45.4167,167.7167,47.95,78,14,1.21
293,Killybegs,IE,2021-06-06 03:09:24,54.6333,-8.45,41.45,84,8,5.68
294,Naze,JP,2021-06-06 03:09:24,28.3667,129.4833,70.72,94,100,2.98
295,Port Macquarie,AU,2021-06-06 03:09:24,-31.4333,152.9167,65.89,49,0,5.35
