City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Kaitangata,NZ,-46.2817,169.8464,53.92,71,100,1.43,overcast clouds
172,Tigil,RU,57.8,158.6667,48.4,89,100,9.89,light rain
173,Nikolskoye,RU,59.7035,30.7861,60.4,83,100,5.32,light rain
174,Aden,YE,12.7794,45.0367,81.72,85,18,13.71,few clouds
175,Lebedinyy,RU,58.5167,125.5167,54.99,89,100,3.24,light rain
176,Snezhnogorsk,RU,69.1933,33.2531,51.58,77,100,7.47,overcast clouds
177,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,13.8,broken clouds
178,Pangnirtung,CA,66.1451,-65.7125,52.21,79,100,2.19,overcast clouds
179,Rudnyy,KZ,52.9594,63.1206,64.63,65,22,3.87,few clouds
180,Turayf,SA,31.6725,38.6637,75.45,43,0,8.05,clear sky
181,Puerto Ayora,EC,-0.7393,-90.3518,70.56,94,48,3.0,scattered clouds
182,Naze,JP,28.3667,129.4833,83.32,87,78,17.31,broken clouds
183,Waddan,LY,29.1614,16.139,80.6,28,0,4.83,clear sky
184,San Quintin,MX,30.4833,-115.95,71.55,72,4,11.18,clear sky
185,Mortka,RU,59.3322,66.0214,58.64,93,2,8.12,clear sky
186,Alugan,PH,12.2188,125.4808,89.74,58,100,9.62,overcast clouds
187,Kajaani,FI,64.2273,27.7285,57.25,100,90,4.61,overcast clouds
188,Tianpeng,CN,30.9866,103.9393,84.43,53,0,0.43,clear sky
189,Ribeira Grande,PT,38.5167,-28.7,72.79,95,19,13.4,few clouds
190,Stokmarknes,NO,68.5646,14.9108,49.5,85,100,9.35,overcast clouds
191,Redlands,US,34.0556,-117.1825,98.65,30,0,1.01,clear sky
192,Jhunjhunun,IN,28.1307,75.4014,81.01,81,37,10.02,scattered clouds
193,Chuy,UY,-33.6971,-53.4616,50.72,93,79,6.49,broken clouds
194,Souillac,MU,-20.5167,57.5167,67.35,75,0,11.72,clear sky
195,Maneadero,MX,31.7167,-116.5667,87.19,80,6,4.0,clear sky
196,Mahanoro,MG,-19.9,48.8,62.96,89,0,4.36,clear sky
197,Ibra,OM,22.6906,58.5334,85.12,53,100,1.34,overcast clouds
198,Matagami,CA,49.7502,-77.6328,50.09,81,59,5.84,broken clouds
199,Kpandu,GH,6.9954,0.2931,73.27,86,63,4.72,broken clouds
200,Humboldt,US,40.6665,-123.9178,59.13,56,5,4.25,clear sky
201,Port Lincoln,AU,-34.7333,135.8667,52.56,83,100,17.67,light rain
202,Victoria,HK,22.2855,114.1577,88.97,86,100,1.99,overcast clouds
203,Lorengau,PG,-2.0226,147.2712,84.56,75,27,10.02,light rain
204,Karratha,AU,-20.7377,116.8463,69.51,36,0,21.14,clear sky
205,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,70.39,53,0,8.95,clear sky
206,Sao Filipe,CV,14.8961,-24.4956,75.33,77,23,0.65,few clouds
207,Pechora,RU,65.1472,57.2244,53.98,94,45,3.02,scattered clouds
208,Tiksi,RU,71.6872,128.8694,52.52,62,20,5.82,few clouds
209,Tuxpan,MX,19.55,-103.4,68.16,94,29,2.39,scattered clouds
210,Innisfail,AU,-17.5333,146.0333,76.71,56,0,7.76,clear sky
211,Praia Da Vitoria,PT,38.7333,-27.0667,75.76,89,99,12.84,overcast clouds
212,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.72,68,74,8.03,broken clouds
213,Lata,PT,40.1629,-8.3327,65.91,95,100,1.05,overcast clouds
214,Kuala Terengganu,MY,5.3302,103.1408,83.07,72,93,2.93,overcast clouds
215,Georgetown,MY,5.4112,100.3354,84.13,75,20,1.01,few clouds
216,Dicabisagan,PH,17.0818,122.4157,90.05,60,99,1.43,overcast clouds
217,Eyl,SO,7.9803,49.8164,79.25,69,0,29.35,clear sky
218,Anchorage,US,61.2181,-149.9003,78.67,68,1,10.0,light rain
219,Burshtyn,UA,49.2587,24.6278,67.05,72,29,6.35,scattered clouds
220,Marsa Matruh,EG,31.3525,27.2453,79.11,86,0,12.21,clear sky
221,Prince Albert,CA,53.2001,-105.7677,86.97,24,44,8.25,scattered clouds
222,Vanimo,PG,-2.6741,141.3028,85.33,66,41,4.97,scattered clouds
223,Santa Rosa,PH,14.3122,121.1114,89.1,70,100,17.63,overcast clouds
224,Dolores,AR,-36.3132,-57.6792,41.86,94,0,5.03,clear sky
225,Geraldton,AU,-28.7667,114.6,55.13,82,83,11.5,broken clouds
226,Portland,US,45.5234,-122.6762,92.35,48,55,1.01,broken clouds
227,Roald,NO,62.5833,6.1333,53.01,76,20,6.91,few clouds
228,Dikson,RU,73.5069,80.5464,42.58,98,100,11.05,overcast clouds
229,Rio Grande,BR,-32.035,-52.0986,46.94,94,0,5.66,clear sky
230,Takoradi,GH,4.8845,-1.7554,74.68,91,4,5.86,clear sky
231,Chamba,IN,32.5667,76.1333,78.67,75,0,2.55,clear sky
232,Guaraniacu,BR,-25.1008,-52.8781,48.85,70,3,2.04,clear sky
233,Escanaba,US,45.7453,-87.0646,64.67,82,12,6.2,few clouds
234,San Jose,US,37.3394,-121.895,78.57,58,1,5.01,clear sky
235,Haverfordwest,GB,51.8017,-4.9691,57.54,93,60,9.71,broken clouds
236,The Valley,AI,18.217,-63.0578,82.81,75,0,15.79,clear sky
237,Ilulissat,GL,69.2167,-51.1,57.22,41,0,26.46,clear sky
238,Manutuke,NZ,-38.6833,177.9167,55.98,57,4,7.05,clear sky
239,Machico,PT,32.7,-16.7667,72.12,77,20,14.97,few clouds
240,Soyo,AO,-6.1349,12.3689,71.4,89,90,4.07,overcast clouds
241,Kirakira,SB,-10.4544,161.9205,81.03,69,100,8.46,overcast clouds
242,Hokitika,NZ,-42.7167,170.9667,53.64,80,78,3.8,broken clouds
243,Port Hedland,AU,-20.3167,118.5667,69.85,32,0,21.85,clear sky
244,Jinchang,CN,38.4953,102.1739,76.32,38,89,19.86,overcast clouds
245,San Policarpo,PH,12.1791,125.5072,89.55,59,100,9.42,overcast clouds
246,Catalao,BR,-18.1658,-47.9464,63.45,58,5,4.61,clear sky
247,Baruun-Urt,MN,46.6806,113.2792,74.01,33,2,14.27,clear sky
